CO_REGSAUD;DS_NOME;Ano;Pop_0a14;Pop_15a64;Pop_65emais;RazDep
29014;Jacobina;2010;103327;242709;31674;55,62
29015;Jequié;2010;127133;321341;43725;53,17
29016;Juazeiro;2010;143172;317849;33410;55,56
29017;Paulo Afonso;2010;65792;153289;17772;54,51
29018;Porto Seguro;2010;101639;223547;18161;53,59
29019;Ribeira do Pombal;2010;83157;196570;27120;56,10
29020;Salvador;2010;668042;2284407;189819;37,55
29021;Santa Maria da Vitória;2010;81800;186851;23012;56,09
29022;Santo Antônio de Jesus;2010;110636;291090;34944;50,01
29023;Seabra;2010;48605;111260;15930;58,00
29024;Senhor do Bonfim;2010;78846;183575;23102;55,53
29025;Serrinha;2010;167191;386182;50713;56,43
29026;Teixeira de Freitas;2010;115668;272233;28958;53,13
29027;Valença;2010;85661;190992;17594;54,06
29028;Vitória da Conquista;2010;162639;417211;52858;51,65
31001;Águas Formosas;2010;15756;36314;5966;59,82
31002;Além Paraíba;2010;11931;38089;5771;46,48
31003;Alfenas Machado;2010;67132;210640;27604;44,98
31004;Almenara;2010;45196;112051;17755;56,18
31005;Araçuaí;2010;22226;58066;8121;52,26
31006;Araxá;2010;36177;118773;12754;41,20
31007;Barbacena;2010;46842;158123;20218;42,41
31008;Belo Horizonte Nova Lima Caeté;2010;646485;2285478;253604;39,38
31009;Betim;2010;154349;434784;34929;43,53
31010;Bom Despacho;2010;21565;69677;9616;44,75
31011;Brasília de Minas São Francisco;2010;67528;148738;18322;57,72
31012;Carangola;2010;29868;83184;10820;48,91
31013;Caratinga;2010;45973;128900;17299;49,09
31014;Conselheiro Lafaiete Congonhas;2010;62384;203124;22863;41,97
31015;Contagem;2010;178081;566139;43990;39,23
31016;Coração de Jesus;2010;12122;30943;3914;51,82
31017;Coronel Fabriciano Timóteo;2010;48618;152346;16826;42,96
31018;Curvelo;2010;41045;118506;15163;47,43
31019;Diamantina;2010;44139;108804;13570;53,04
31020;Divinópolis Santo Antônio do Monte;2010;89914;305857;33773;40,44
31021;Formiga;2010;24449;89614;12576;41,32
31022;Francisco Sá;2010;20376;45680;4909;55,35
31023;Frutal Iturama;2010;34413;113301;12474;41,38
31024;Governador Valadares;2010;99800;274083;36183;49,61
31025;Guanhães;2010;29771;72783;11053;56,09
31026;Guaxupé;2010;32304;108192;14123;42,91
31027;Ipatinga;2010;86111;261417;26877;43,22
31028;Itabira;2010;49439;151758;17245;43,94
31029;Itajubá;2010;42337;135792;17910;44,37
31030;Itaobim;2010;22463;50197;8073;60,83
31031;Itaúna;2010;23743;81060;9366;40,85
31032;Ituiutaba;2010;37537;127689;19077;44,34
31033;Janaúba Monte Azul;2010;68916;177314;19582;49,91
31034;Januária;2010;31852;69590;8830;58,46
31035;João Monlevade;2010;28655;91839;12154;44,44
31036;João Pinheiro;2010;17942;45859;4316;48,54
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2010;124041;452753;60918;40,85
31038;Lavras;2010;35711;119096;14949;42,54
31039;Leopoldina Cataguases;2010;34466;120552;18830;44,21
31040;Manga;2010;17864;35268;4515;63,45
31041;Manhuaçu;2010;80854;215413;27075;50,10
31042;Mantena;2010;15802;45367;6976;50,21
31043;Minas Novas Turmalina Capelinha;2010;33773;77408;7336;53,11
31044;Montes Claros Bocaiúva;2010;108579;317203;28900;43,34
31045;Muriaé;2010;34185;114104;15707;43,73
31046;Nanuque;2010;16511;45758;7046;51,48
31047;Ouro Preto;2010;38223;119704;12022;41,97
31048;Padre Paraíso;2010;18056;36477;5165;63,66
31049;Pará de Minas;2010;48341;147339;12425;41,24
31050;Passos Piumhi;2010;58803;191081;23765;43,21
31051;Patos de Minas;2010;71766;233236;27505;42,56
31052;Patrocínio Monte Carmelo;2010;41075;128284;13858;42,82
31053;Pedra Azul;2010;14392;32760;4252;56,91
31054;Pirapora;2010;36566;93038;8752;48,71
31055;Poços de Caldas;2010;42444;152913;20390;41,09
31056;Ponte Nova;2010;46686;142824;22746;48,61
31057;Pouso Alegre;2010;104918;348621;42406;42,26
31058;Resplendor;2010;20477;58219;9298;51,14
31059;Salinas Taiobeiras;2010;52716;128806;16477;53,72
31060;Santa Maria do Suaçuí São João Evangeli;2010;28053;63931;10007;59,53
31061;Santo Antônio do Amparo Campo Belo;2010;40745;134267;19283;44,71
31062;Santos Dumont;2010;10300;35309;4856;42,92
31063;São João del Rei;2010;47170;159087;20921;42,80
31064;São João Nepomuceno Bicas;2010;14276;47415;7522;45,97
31065;São Lourenço;2010;53718;172094;24639;45,53
31066;São Sebastião do Paraíso;2010;25709;82385;11871;45,62
31067;Sete Lagoas;2010;91317;287535;31735;42,80
31068;Teófilo Otoni Malacacheta Itambacuri;2010;84371;202859;29179;55,97
31069;Três Corações;2010;29441;84845;9582;45,99
31070;Três Pontas;2010;27927;82360;10097;46,17
31071;Ubá;2010;62700;201825;27250;44,57
31072;Uberaba;2010;75231;263749;30940;40,25
31073;Uberlândia Araguari;2010;169733;581932;59761;39,44
31074;Unaí;2010;65819;170571;15940;47,93
31075;Varginha;2010;39912;129878;14013;41,52
31076;Vespasiano;2010;66717;195556;17227;42,93
31077;Viçosa;2010;27194;91596;11425;42,16
32001;Central;2010;134745;395905;40652;44,30
32002;Metropolitana;2010;438292;1367571;129530;41,52
32003;Norte;2010;96880;260266;27715;47,87
32004;Sul;2010;141725;429951;51720;44,99
33001;Baia da Ilha Grande;2010;58981;170466;14053;42,84
33002;Baixada Litorânea;2010;158607;469422;51464;44,75
33003;Centro-Sul;2010;67736;222311;29304;43,65
33004;Médio Paraíba;2010;179952;603958;71283;41,60
33005;Metropolitana I;2010;2075771;6891512;906327;43,27
33006;Metropolitana II;2010;389840;1377726;172825;40,84
33007;Noroeste;2010;68587;227235;34271;45,27
33008;Norte;2010;192588;581173;63154;44,00
33009;Serrana;2010;193577;633098;84708;43,96
35011;Alto do Tietê;2010;662330;1858805;142604;43,30
35012;Franco da Rocha;2010;130789;363022;23864;42,60
35013;Mananciais;2010;246411;692826;47761;42,46
35014;Rota dos Bandeirantes;2010;410269;1211844;88619;41,17
35015;Grande ABC;2010;531211;1835673;184444;38,99
35016;São Paulo;2010;2336636;8001784;915083;40,64
35021;Central do DRS II;2010;53100;198374;26877;40,32
35022;Lagos do DRS II;2010;36324;135146;19019;40,95
35023;Consórcios do DRS II;2010;49877;177088;23518;41,45
35031;Central do DRS III;2010;56518;204120;25062;39,97
35032;Centro Oeste do DRS III;2010;26382;93054;12288;41,56
35033;Norte do DRS III;2010;30133;104280;12536;40,92
35034;Coração do DRS III;2010;71686;252717;31481;40,82
35041;Baixada Santista;2010;367021;1146402;150713;45,16
35051;Norte - Barretos;2010;54706;189063;24777;42,04
35052;Sul - Barretos;2010;28725;98415;13581;42,99
35061;Vale do Jurumirim;2010;62191;191070;24124;45,17
35062;Bauru;2010;122036;418670;52613;41,72
35063;Polo Cuesta;2010;61605;192281;25440;45,27
35064;Jaú;2010;66178;223900;29418;42,70
35065;Lins;2010;31554;108291;15252;43,22
35071;Bragança;2010;87589;290657;38409;43,35
35072;Região Metropolitana de Campinas;2010;571001;2014731;207453;38,64
35073;Jundiaí;2010;148260;498492;51972;40,17
35074;Circuito das Águas;2010;23398;86761;13187;42,17
35081;Três Colinas;2010;86935;270197;29572;43,12
35082;Alta Anhanguera;2010;31804;103819;11319;41,54
35083;Alta Mogiana;2010;25263;80635;10263;44,06
35091;Adamantina;2010;22893;90775;14619;41,32
35092;Assis;2010;48142;165400;22646;42,80
35093;Marília;2010;73360;252799;35355;43,00
35094;Ourinhos;2010;47644;149487;20740;45,75
35095;Tupã;2010;24340;85784;14424;45,19
35101;Araras;2010;64882;218999;26030;41,51
35102;Limeira;2010;69652;237536;25664;40,13
35103;Piracicaba;2010;111635;375833;44759;41,61
35104;Rio Claro;2010;47897;168635;21062;40,89
35111;Alta Paulista;2010;23427;87974;14289;42,87
35112;Alta Sorocabana;2010;76617;266303;37157;42,72
35113;Alto Capivari;2010;12232;38494;5362;45,71
35114;Extremo Oeste Paulista;2010;18790;65174;8652;42,11
35115;Pontal do Paranapanema;2010;16282;45958;5481;47,35
35121;Vale do Ribeira;2010;72666;176861;24039;54,68
35131;Horizonte Verde;2010;86414;278259;28758;41,39
35132;Aquífero Guarani;2010;162372;575758;68976;40,18
35133;Vale das Cachoeiras;2010;27033;88275;12144;44,38
35141;Baixa Mogiana;2010;60045;216462;25824;39,67
35142;Mantiqueira;2010;53921;183981;24923;42,85
35143;Rio Pardo;2010;42112;146142;20371;42,75
35151;Catanduva;2010;55632;205534;30409;41,86
35152;Santa Fé do Sul;2010;7871;30990;5408;42,85
35153;Jales;2010;18370;70360;11975;43,13
35154;Fernandópolis;2010;20267;77684;12675;42,41
35155;São José do Rio Preto;2010;120331;465846;63610;39,49
35156;José Bonifácio;2010;18400;64485;8833;42,23
35157;Votuporanga;2010;33264;131032;19795;40,49
35161;Itapetininga;2010;104960;311232;35207;45,04
35162;Itapeva;2010;71757;180376;20543;51,17
35163;Sorocaba;2010;335703;1071683;111555;41,73
35171;Alto Vale do Paraíba;2010;213897;696198;65243;40,09
35172;Circuito da Fé e Vale Histórico;2010;97461;315163;37656;42,87
35173;Litoral Norte;2010;68137;195743;17899;43,95
35174;Vale do Paraíba/Região Serrana;2010;122580;393522;41095;41,59
41001;1ª RS Paranaguá;2010;68853;178006;18533;49,09
41002;2ª RS Metropolitana;2010;730718;2285689;207429;41,04
41003;3ª RS Ponta Grossa;2010;147202;389642;38619;47,69
41004;4ª RS Irati;2010;39888;109205;11869;47,39
41005;5ª RS Guarapuava;2010;117585;294289;29196;49,88
41006;6ª RS União da Vitória;2010;42494;110694;12111;49,33
41007;7ª RS Pato Branco;2010;61986;169442;18365;47,42
41008;8ª RS Francisco Beltrão;2010;77095;232789;27819;45,07
41009;9ª RS Foz do Iguaçu;2010;95418;270241;23136;43,87
41010;10ª RS Cascavel;2010;118044;353405;35936;43,57
41011;11ª RS Campo Mourão;2010;74014;229725;30386;45,45
41012;12ª RS Umuarama;2010;55224;183268;26600;44,65
41013;13ª RS Cianorte;2010;30558;99792;12083;42,73
41014;14ª RS Paranavaí;2010;57490;178686;24368;45,81
41015;15ª RS Maringá;2010;147809;524728;60867;39,77
41016;16ª RS Apucarana;2010;74557;241829;30586;43,48
41017;17ª RS Londrina;2010;184878;610351;76038;42,75
41018;18ª RS Cornélio Procópio;2010;48939;154353;22669;46,39
41019;19ª RS Jacarezinho;2010;63059;189385;25667;46,85
41020;20ª RS Toledo;2010;76927;251273;30460;42,74
41021;21ª RS Telêmaco Borba;2010;46537;113981;12404;51,71
41022;22ª RS Ivaiporã;2010;32225;93425;13687;49,14
42001;Extremo Oeste;2010;47184;156214;20149;43,10
42002;Oeste;2010;69222;228332;22108;40,00
42003;Xanxerê;2010;45614;129418;14022;46,08
42004;Alto Vale do Itajaí;2010;60484;187658;21282;43,57
42005;Foz do Rio Itajaí;2010;124692;396452;34420;40,13
42006;Médio Vale do Itajaí;2010;134692;488815;43431;36,44
42007;Grande Florianópolis;2010;202515;741367;68351;36,54
42008;Meio Oeste;2010;40548;124795;14481;44,10
42009;Alto Vale do Rio do Peixe;2010;69215;186628;18462;46,98
42010;Alto Uruguai Catarinense;2010;28886;100663;12441;41,05
42011;Nordeste;2010;192097;625238;51195;38,91
42012;Planalto Norte;2010;86588;243318;24294;45,57
42013;Serra Catarinense;2010;67643;195905;22690;46,11
42014;Extremo Sul Catarinense;2010;40518;126397;13893;43,05
42015;Carbonífera;2010;83122;283012;24657;38,08
42016;Laguna;2010;69293;238468;27567;40,62
43001;Região 01 - Verdes Campos;2010;82093;290982;43906;43,30
