CO_REGSAUD;DS_NOME;Ano;tx_nat
31055;Poços de Caldas;2013;11,49
31056;Ponte Nova;2013;10,21
31057;Pouso Alegre;2013;11,78
31058;Resplendor;2013;12,03
31059;Salinas Taiobeiras;2013;12,14
31060;Santa Maria do Suaçuí São João Evangeli;2013;10,73
31061;Santo Antônio do Amparo Campo Belo;2013;10,45
31062;Santos Dumont;2013;10,36
31063;São João del Rei;2013;10,70
31064;São João Nepomuceno Bicas;2013;10,54
31065;São Lourenço;2013;10,98
31066;São Sebastião do Paraíso;2013;12,23
31067;Sete Lagoas;2013;12,21
31068;Teófilo Otoni Malacacheta Itambacuri;2013;12,76
31069;Três Corações;2013;12,25
31070;Três Pontas;2013;12,78
31071;Ubá;2013;11,40
31072;Uberaba;2013;13,17
31073;Uberlândia Araguari;2013;13,40
31074;Unaí;2013;13,18
31075;Varginha;2013;12,31
31076;Vespasiano;2013;14,06
31077;Viçosa;2013;11,32
32001;Central;2013;13,45
32002;Metropolitana;2013;14,72
32003;Norte;2013;13,96
32004;Sul;2013;12,73
33001;Baia da Ilha Grande;2013;14,38
33002;Baixada Litorânea;2013;14,23
33003;Centro-Sul;2013;12,09
33004;Médio Paraíba;2013;12,86
33005;Metropolitana I;2013;14,05
33006;Metropolitana II;2013;12,06
33007;Noroeste;2013;11,91
33008;Norte;2013;15,61
33009;Serrana;2013;12,72
35011;Alto do Tietê;2013;15,88
35012;Franco da Rocha;2013;15,45
35013;Mananciais;2013;17,39
35014;Rota dos Bandeirantes;2013;17,27
35015;Grande ABC;2013;13,30
35016;São Paulo;2013;14,63
35021;Central do DRS II;2013;12,11
35022;Lagos do DRS II;2013;11,87
35023;Consórcios do DRS II;2013;12,59
35031;Central do DRS III;2013;12,61
35032;Centro Oeste do DRS III;2013;12,00
35033;Norte do DRS III;2013;12,39
35034;Coração do DRS III;2013;12,85
35041;Baixada Santista;2013;14,15
35051;Norte - Barretos;2013;12,50
35052;Sul - Barretos;2013;11,12
35061;Vale do Jurumirim;2013;13,15
35062;Bauru;2013;13,13
35063;Polo Cuesta;2013;12,28
35064;Jaú;2013;11,81
35065;Lins;2013;12,34
35071;Bragança;2013;13,33
35072;Região Metropolitana de Campinas;2013;13,39
35073;Jundiaí;2013;14,69
35074;Circuito das Águas;2013;11,79
35081;Três Colinas;2013;13,73
35082;Alta Anhanguera;2013;12,66
35083;Alta Mogiana;2013;11,03
35091;Adamantina;2013;9,94
35092;Assis;2013;12,17
35093;Marília;2013;12,63
35094;Ourinhos;2013;12,54
35095;Tupã;2013;11,00
35101;Araras;2013;12,34
35102;Limeira;2013;12,14
35103;Piracicaba;2013;13,40
35104;Rio Claro;2013;12,01
35111;Alta Paulista;2013;11,72
35112;Alta Sorocabana;2013;12,18
35113;Alto Capivari;2013;12,69
35114;Extremo Oeste Paulista;2013;11,04
35115;Pontal do Paranapanema;2013;13,06
35121;Vale do Ribeira;2013;14,00
35131;Horizonte Verde;2013;12,72
35132;Aquífero Guarani;2013;12,67
35133;Vale das Cachoeiras;2013;12,03
35141;Baixa Mogiana;2013;12,59
35142;Mantiqueira;2013;11,89
35143;Rio Pardo;2013;11,41
35151;Catanduva;2013;11,17
35152;Santa Fé do Sul;2013;10,20
35153;Jales;2013;10,70
35154;Fernandópolis;2013;10,91
35155;São José do Rio Preto;2013;12,13
35156;José Bonifácio;2013;11,57
35157;Votuporanga;2013;11,38
35161;Itapetininga;2013;13,75
35162;Itapeva;2013;14,50
35163;Sorocaba;2013;14,06
35171;Alto Vale do Paraíba;2013;14,10
35172;Circuito da Fé e Vale Histórico;2013;12,68
35173;Litoral Norte;2013;14,33
35174;Vale do Paraíba/Região Serrana;2013;13,82
41001;1ª RS Paranaguá;2013;15,63
41002;2ª RS Metropolitana;2013;14,92
41003;3ª RS Ponta Grossa;2013;15,44
41004;4ª RS Irati;2013;13,49
41005;5ª RS Guarapuava;2013;14,97
41006;6ª RS União da Vitória;2013;13,52
41007;7ª RS Pato Branco;2013;15,04
41008;8ª RS Francisco Beltrão;2013;12,71
41009;9ª RS Foz do Iguaçu;2013;15,86
41010;10ª RS Cascavel;2013;14,16
41011;11ª RS Campo Mourão;2013;13,00
41012;12ª RS Umuarama;2013;13,07
41013;13ª RS Cianorte;2013;13,52
41014;14ª RS Paranavaí;2013;13,54
41015;15ª RS Maringá;2013;13,15
41016;16ª RS Apucarana;2013;13,56
41017;17ª RS Londrina;2013;13,26
41018;18ª RS Cornélio Procópio;2013;12,10
41019;19ª RS Jacarezinho;2013;12,66
41020;20ª RS Toledo;2013;13,31
41021;21ª RS Telêmaco Borba;2013;14,10
41022;22ª RS Ivaiporã;2013;12,24
42001;Extremo Oeste;2013;11,63
