CO_REGSAUD;DS_NOME;Ano;tx_mortinf
35065;Lins;2000;25,40
35071;Bragança;2000;20,56
35072;Região Metropolitana de Campinas;2000;13,82
35073;Jundiaí;2000;15,77
35074;Circuito das Águas;2000;15,32
35081;Três Colinas;2000;18,18
35082;Alta Anhanguera;2000;22,53
35083;Alta Mogiana;2000;20,89
35091;Adamantina;2000;16,97
35092;Assis;2000;13,31
35093;Marília;2000;19,95
35094;Ourinhos;2000;17,01
35095;Tupã;2000;19,30
35101;Araras;2000;14,88
35102;Limeira;2000;12,81
35103;Piracicaba;2000;16,10
35104;Rio Claro;2000;12,12
35111;Alta Paulista;2000;17,85
35112;Alta Sorocabana;2000;16,79
35113;Alto Capivari;2000;20,45
35114;Extremo Oeste Paulista;2000;18,18
35115;Pontal do Paranapanema;2000;22,15
35121;Vale do Ribeira;2000;20,64
35131;Horizonte Verde;2000;14,88
35132;Aquífero Guarani;2000;13,17
35133;Vale das Cachoeiras;2000;16,62
35141;Baixa Mogiana;2000;11,25
35142;Mantiqueira;2000;23,00
35143;Rio Pardo;2000;21,43
35151;Catanduva;2000;10,38
35152;Santa Fé do Sul;2000;5,60
35153;Jales;2000;16,38
35154;Fernandópolis;2000;18,17
35155;São José do Rio Preto;2000;12,18
35156;José Bonifácio;2000;16,71
35157;Votuporanga;2000;11,50
35161;Itapetininga;2000;19,52
35162;Itapeva;2000;32,51
35163;Sorocaba;2000;17,09
35171;Alto Vale do Paraíba;2000;15,54
35172;Circuito da Fé e Vale Histórico;2000;22,35
35173;Litoral Norte;2000;18,80
35174;Vale do Paraíba/Região Serrana;2000;14,80
41001;1ª RS Paranaguá;2000;23,44
41002;2ª RS Metropolitana;2000;18,59
41003;3ª RS Ponta Grossa;2000;23,52
41004;4ª RS Irati;2000;31,04
41005;5ª RS Guarapuava;2000;28,01
41006;6ª RS União da Vitória;2000;22,06
41007;7ª RS Pato Branco;2000;18,92
41008;8ª RS Francisco Beltrão;2000;18,40
41009;9ª RS Foz do Iguaçu;2000;19,71
41010;10ª RS Cascavel;2000;17,51
41011;11ª RS Campo Mourão;2000;18,97
41012;12ª RS Umuarama;2000;20,17
41013;13ª RS Cianorte;2000;15,53
41014;14ª RS Paranavaí;2000;19,23
41015;15ª RS Maringá;2000;13,25
41016;16ª RS Apucarana;2000;20,08
41017;17ª RS Londrina;2000;14,95
41018;18ª RS Cornélio Procópio;2000;19,12
41019;19ª RS Jacarezinho;2000;23,59
41020;20ª RS Toledo;2000;19,75
41021;21ª RS Telêmaco Borba;2000;23,67
41022;22ª RS Ivaiporã;2000;15,50
42001;Extremo Oeste;2000;15,82
42002;Oeste;2000;16,12
42003;Xanxerê;2000;23,39
42004;Alto Vale do Itajaí;2000;16,52
42005;Foz do Rio Itajaí;2000;14,31
42006;Médio Vale do Itajaí;2000;11,59
42007;Grande Florianópolis;2000;12,88
42008;Meio Oeste;2000;18,98
42009;Alto Vale do Rio do Peixe;2000;21,69
42010;Alto Uruguai Catarinense;2000;13,81
42011;Nordeste;2000;11,96
42012;Planalto Norte;2000;20,76
42013;Serra Catarinense;2000;21,61
42014;Extremo Sul Catarinense;2000;16,38
42015;Carbonífera;2000;13,77
42016;Laguna;2000;16,34
43001;Região 01 - Verdes Campos;2000;14,25
43002;Região 02 - Entre Rios;2000;19,58
43003;Região 03 - Fronteira Oeste;2000;22,44
43004;Região 04 - Belas Praias;2000;9,57
43005;Região 05 - Bons Ventos;2000;16,53
43006;Região 06 - Vale do Paranhana e Costa S;2000;16,40
43007;Região 07 - Vale dos Sinos;2000;14,46
43008;Região 08 - Vale do Caí e Metropolitana;2000;14,47
43009;Região 09 - Carbonífera/Costa Doce;2000;13,04
43010;Região 10 - Capital e Vale do Gravataí;2000;14,71
43011;Região 11 - Sete Povos das Missões;2000;14,08
43012;Região 12 - Portal das Missões;2000;18,07
43013;Região 13 - Diversidade;2000;11,83
43014;Região 14 - Fronteira Noroeste;2000;13,31
43015;Região 15 - Caminho das Águas;2000;14,52
43016;Região 16 - Alto Uruguai Gaúcho;2000;10,48
43017;Região 17 - Planalto;2000;17,41
43018;Região 18 - Araucárias;2000;16,74
43019;Região 19 - Botucaraí;2000;15,90
43020;Região 20 - Rota da Produção;2000;13,97
43021;Região 21 - Sul;2000;17,70
43022;Região 22 - Pampa;2000;21,57
43023;Região 23 - Caxias e Hortênsias;2000;12,10
43024;Região 24 - Campos de Cima da Serra;2000;12,34
43025;Região 25 - Vinhedos e Basalto;2000;7,12
43026;Região 26 - Uva Vale;2000;12,16
43027;Região 27 - Jacuí Centro;2000;13,18
43028;Região 28 - Vinte e Oito;2000;18,83
43029;Região 29 - Vales e Montanhas;2000;12,56
43030;Região 30 - Vale da Luz;2000;13,87
50001;Campo Grande;2000;18,62
50002;Corumbá;2000;36,35
50003;Dourados;2000;29,99
50004;Três Lagoas;2000;23,78
51001;Alto Tapajós;2000;24,76
51002;Baixada Cuiabana;2000;22,50
51003;Araguaia Xingu;2000;27,57
51004;Centro Norte;2000;30,72
51005;Garças Araguaia;2000;23,10
51006;Médio Araguaia;2000;25,30
