CO_REGSAUD;DS_NOME;Ano;Pop_Total;Pop_Hom;Pop_Mul;p_Pop_Hom;p_Pop_Mul
52008;Norte;2000;138705;71161;67544;51,30;48,70
52009;Oeste I;2000;114904;58333;56571;50,77;49,23
52010;Oeste II;2000;97022;49021;48001;50,53;49,47
52011;Pirineus;2000;380888;188230;192658;49,42;50,58
52012;Rio Vermelho;2000;185552;94737;90815;51,06;48,94
52013;São Patrício I;2000;157785;80282;77503;50,88;49,12
52014;Serra da Mesa;2000;110317;56311;54006;51,04;48,96
52015;Sudoeste I;2000;292281;148164;144117;50,69;49,31
52016;Sudoeste II;2000;162932;82581;80351;50,68;49,32
52017;Sul;2000;206306;103594;102712;50,21;49,79
52018;São Patrício II;2000;126223;64193;62030;50,86;49,14
53001;Distrito Federal;2000;2051146;981356;1069790;47,84;52,16
55;Brasil;2000;169799170;83576015;86223155;49,22;50,78
