CO_REGSAUD;DS_NOME;Ano;Pop_Total;Pop_Hom;Pop_Mul;p_Pop_Hom;p_Pop_Mul
29012;Itabuna;2010;512102;251385;260717;49,09;50,91
29013;Itapetinga;2010;240507;121219;119288;50,40;49,60
29014;Jacobina;2010;377710;187904;189806;49,75;50,25
29015;Jequié;2010;492199;244404;247795;49,66;50,34
29016;Juazeiro;2010;494431;247210;247221;50,00;50,00
29017;Paulo Afonso;2010;236853;116767;120086;49,30;50,70
29018;Porto Seguro;2010;343347;172290;171057;50,18;49,82
29019;Ribeira do Pombal;2010;306847;152945;153902;49,84;50,16
29020;Salvador;2010;3142268;1475900;1666368;46,97;53,03
29021;Santa Maria da Vitória;2010;291663;147915;143748;50,71;49,29
29022;Santo Antônio de Jesus;2010;436670;214751;221919;49,18;50,82
29023;Seabra;2010;175795;87309;88486;49,67;50,33
29024;Senhor do Bonfim;2010;285523;142830;142693;50,02;49,98
29025;Serrinha;2010;604086;302373;301713;50,05;49,95
29026;Teixeira de Freitas;2010;416859;209061;207798;50,15;49,85
29027;Valença;2010;294247;148740;145507;50,55;49,45
29028;Vitória da Conquista;2010;632708;311883;320825;49,29;50,71
31001;Águas Formosas;2010;58036;29581;28455;50,97;49,03
31002;Além Paraíba;2010;55791;27161;28630;48,68;51,32
31003;Alfenas Machado;2010;305376;153751;151625;50,35;49,65
31004;Almenara;2010;175002;89336;85666;51,05;48,95
31005;Araçuaí;2010;88413;44493;43920;50,32;49,68
31006;Araxá;2010;167704;84461;83243;50,36;49,64
31007;Barbacena;2010;225183;109857;115326;48,79;51,21
31008;Belo Horizonte Nova Lima Caeté;2010;3185567;1510288;1675279;47,41;52,59
31009;Betim;2010;624062;310865;313197;49,81;50,19
31010;Bom Despacho;2010;100858;50181;50677;49,75;50,25
31011;Brasília de Minas São Francisco;2010;234588;119935;114653;51,13;48,87
31012;Carangola;2010;123872;62321;61551;50,31;49,69
31013;Caratinga;2010;192172;95833;96339;49,87;50,13
31014;Conselheiro Lafaiete Congonhas;2010;288371;142198;146173;49,31;50,69
31015;Contagem;2010;788210;383508;404702;48,66;51,34
31016;Coração de Jesus;2010;46979;23946;23033;50,97;49,03
31017;Coronel Fabriciano Timóteo;2010;217790;105617;112173;48,49;51,51
31018;Curvelo;2010;174714;86241;88473;49,36;50,64
31019;Diamantina;2010;166513;82423;84090;49,50;50,50
31020;Divinópolis Santo Antônio do Monte;2010;429544;212627;216917;49,50;50,50
31021;Formiga;2010;126639;63277;63362;49,97;50,03
31022;Francisco Sá;2010;70965;36524;34441;51,47;48,53
31023;Frutal Iturama;2010;160188;82094;78094;51,25;48,75
31024;Governador Valadares;2010;410066;197806;212260;48,24;51,76
31025;Guanhães;2010;113607;56140;57467;49,42;50,58
31026;Guaxupé;2010;154619;79015;75604;51,10;48,90
31027;Ipatinga;2010;374405;183574;190831;49,03;50,97
31028;Itabira;2010;218442;106488;111954;48,75;51,25
31029;Itajubá;2010;196039;98230;97809;50,11;49,89
31030;Itaobim;2010;80733;40773;39960;50,50;49,50
31031;Itaúna;2010;114169;56642;57527;49,61;50,39
31032;Ituiutaba;2010;184303;92720;91583;50,31;49,69
31033;Janaúba Monte Azul;2010;265812;132959;132853;50,02;49,98
31034;Januária;2010;110272;55078;55194;49,95;50,05
31035;João Monlevade;2010;132648;63573;69075;47,93;52,07
31036;João Pinheiro;2010;68117;34981;33136;51,35;48,65
31037;Juiz de Fora Lima Duarte Bom Jardim Min;2010;637712;305414;332298;47,89;52,11
31038;Lavras;2010;169756;83501;86255;49,19;50,81
31039;Leopoldina Cataguases;2010;173848;85327;88521;49,08;50,92
31040;Manga;2010;57647;29044;28603;50,38;49,62
31041;Manhuaçu;2010;323342;162041;161301;50,11;49,89
31042;Mantena;2010;68145;33509;34636;49,17;50,83
31043;Minas Novas Turmalina Capelinha;2010;118517;59182;59335;49,94;50,06
31044;Montes Claros Bocaiúva;2010;454682;221330;233352;48,68;51,32
31045;Muriaé;2010;163996;80808;83188;49,27;50,73
31046;Nanuque;2010;69315;34173;35142;49,30;50,70
31047;Ouro Preto;2010;169949;83197;86752;48,95;51,05
31048;Padre Paraíso;2010;59698;30011;29687;50,27;49,73
31049;Pará de Minas;2010;208105;105011;103094;50,46;49,54
31050;Passos Piumhi;2010;273649;138153;135496;50,49;49,51
31051;Patos de Minas;2010;332507;166661;165846;50,12;49,88
31052;Patrocínio Monte Carmelo;2010;183217;93193;90024;50,86;49,14
31053;Pedra Azul;2010;51404;25685;25719;49,97;50,03
31054;Pirapora;2010;138356;69293;69063;50,08;49,92
31055;Poços de Caldas;2010;215747;105677;110070;48,98;51,02
31056;Ponte Nova;2010;212256;104072;108184;49,03;50,97
31057;Pouso Alegre;2010;495945;250772;245173;50,56;49,44
31058;Resplendor;2010;87994;43155;44839;49,04;50,96
31059;Salinas Taiobeiras;2010;197999;99352;98647;50,18;49,82
31060;Santa Maria do Suaçuí São João Evangeli;2010;101991;50821;51170;49,83;50,17
31061;Santo Antônio do Amparo Campo Belo;2010;194295;96790;97505;49,82;50,18
31062;Santos Dumont;2010;50465;24629;25836;48,80;51,20
31063;São João del Rei;2010;227178;111745;115433;49,19;50,81
31064;São João Nepomuceno Bicas;2010;69213;33832;35381;48,88;51,12
31065;São Lourenço;2010;250451;124148;126303;49,57;50,43
31066;São Sebastião do Paraíso;2010;119965;60061;59904;50,07;49,93
31067;Sete Lagoas;2010;410587;202566;208021;49,34;50,66
31068;Teófilo Otoni Malacacheta Itambacuri;2010;316409;154459;161950;48,82;51,18
31069;Três Corações;2010;123868;61985;61883;50,04;49,96
31070;Três Pontas;2010;120384;60096;60288;49,92;50,08
31071;Ubá;2010;291775;145560;146215;49,89;50,11
31072;Uberaba;2010;369920;183023;186897;49,48;50,52
31073;Uberlândia Araguari;2010;811426;399077;412349;49,18;50,82
31074;Unaí;2010;252330;128356;123974;50,87;49,13
31075;Varginha;2010;183803;90317;93486;49,14;50,86
31076;Vespasiano;2010;279500;137012;142488;49,02;50,98
31077;Viçosa;2010;130215;64342;65873;49,41;50,59
32001;Central;2010;571302;284870;286432;49,86;50,14
32002;Metropolitana;2010;1935393;943503;991890;48,75;51,25
32003;Norte;2010;384861;192520;192341;50,02;49,98
32004;Sul;2010;623396;310325;313071;49,78;50,22
33001;Baia da Ilha Grande;2010;243500;121592;121908;49,94;50,06
33002;Baixada Litorânea;2010;679493;333445;346048;49,07;50,93
33003;Centro-Sul;2010;319351;155088;164263;48,56;51,44
33004;Médio Paraíba;2010;855193;412207;442986;48,20;51,80
33005;Metropolitana I;2010;9873610;4669049;5204561;47,29;52,71
33006;Metropolitana II;2010;1940391;923356;1017035;47,59;52,41
33007;Noroeste;2010;330093;161805;168288;49,02;50,98
33008;Norte;2010;836915;408502;428413;48,81;51,19
33009;Serrana;2010;911383;440635;470748;48,35;51,65
35011;Alto do Tietê;2010;2663739;1302075;1361664;48,88;51,12
35012;Franco da Rocha;2010;517675;259368;258307;50,10;49,90
35013;Mananciais;2010;986998;482506;504492;48,89;51,11
35014;Rota dos Bandeirantes;2010;1710732;830069;880663;48,52;51,48
35015;Grande ABC;2010;2551328;1230955;1320373;48,25;51,75
35016;São Paulo;2010;11253503;5328632;5924871;47,35;52,65
35021;Central do DRS II;2010;278351;136873;141478;49,17;50,83
35022;Lagos do DRS II;2010;190489;97436;93053;51,15;48,85
35023;Consórcios do DRS II;2010;250483;124418;126065;49,67;50,33
35031;Central do DRS III;2010;285700;139453;146247;48,81;51,19
35032;Centro Oeste do DRS III;2010;131724;65643;66081;49,83;50,17
35033;Norte do DRS III;2010;146949;72978;73971;49,66;50,34
35034;Coração do DRS III;2010;355884;176027;179857;49,46;50,54
35041;Baixada Santista;2010;1664136;796701;867435;47,87;52,13
35051;Norte - Barretos;2010;268546;132609;135937;49,38;50,62
35052;Sul - Barretos;2010;140721;69625;71096;49,48;50,52
35061;Vale do Jurumirim;2010;277385;139665;137720;50,35;49,65
35062;Bauru;2010;593319;294550;298769;49,64;50,36
35063;Polo Cuesta;2010;279326;138154;141172;49,46;50,54
35064;Jaú;2010;319496;158204;161292;49,52;50,48
35065;Lins;2010;155097;76896;78201;49,58;50,42
35071;Bragança;2010;416655;206478;210177;49,56;50,44
35072;Região Metropolitana de Campinas;2010;2793185;1371658;1421527;49,11;50,89
35073;Jundiaí;2010;698724;344535;354189;49,31;50,69
35074;Circuito das Águas;2010;123346;60672;62674;49,19;50,81
