CO_REGSAUD;DS_NOME;Ano;TxCres_1020
31061;Santo Antônio do Amparo Campo Belo;2020;0,71
31062;Santos Dumont;2020;0,27
31063;São João del Rei;2020;0,74
31064;São João Nepomuceno Bicas;2020;0,71
31065;São Lourenço;2020;0,67
31066;São Sebastião do Paraíso;2020;0,66
31067;Sete Lagoas;2020;1,02
31068;Teófilo Otoni Malacacheta Itambacuri;2020;0,48
31069;Três Corações;2020;0,89
31070;Três Pontas;2020;0,60
31071;Ubá;2020;0,95
31072;Uberaba;2020;1,34
31073;Uberlândia Araguari;2020;1,29
31074;Unaí;2020;0,96
31075;Varginha;2020;1,03
31076;Vespasiano;2020;1,67
31077;Viçosa;2020;0,76
32001;Central;2020;1,76
32002;Metropolitana;2020;1,79
32003;Norte;2020;1,45
32004;Sul;2020;1,22
33001;Baia da Ilha Grande;2020;1,77
33002;Baixada Litorânea;2020;2,15
33003;Centro-Sul;2020;0,43
33004;Médio Paraíba;2020;0,46
33005;Metropolitana I;2020;0,40
33006;Metropolitana II;2020;0,70
33007;Noroeste;2020;0,31
33008;Norte;2020;1,11
33009;Serrana;2020;0,45
35011;Alto do Tietê;2020;1,33
35012;Franco da Rocha;2020;1,65
35013;Mananciais;2020;1,62
35014;Rota dos Bandeirantes;2020;1,06
35015;Grande ABC;2020;0,94
35016;São Paulo;2020;0,89
35021;Central do DRS II;2020;0,95
35022;Lagos do DRS II;2020;0,80
35023;Consórcios do DRS II;2020;1,19
35031;Central do DRS III;2020;1,24
35032;Centro Oeste do DRS III;2020;1,13
35033;Norte do DRS III;2020;0,75
35034;Coração do DRS III;2020;1,18
35041;Baixada Santista;2020;1,18
35051;Norte - Barretos;2020;0,90
35052;Sul - Barretos;2020;0,57
35061;Vale do Jurumirim;2020;0,95
35062;Bauru;2020;1,02
35063;Polo Cuesta;2020;1,29
35064;Jaú;2020;1,12
35065;Lins;2020;0,96
35071;Bragança;2020;1,36
35072;Região Metropolitana de Campinas;2020;1,53
35073;Jundiaí;2020;1,57
35074;Circuito das Águas;2020;1,03
35081;Três Colinas;2020;1,05
35082;Alta Anhanguera;2020;1,17
35083;Alta Mogiana;2020;0,84
35091;Adamantina;2020;0,81
35092;Assis;2020;0,82
35093;Marília;2020;0,82
35094;Ourinhos;2020;0,86
35095;Tupã;2020;0,37
35101;Araras;2020;1,16
