CO_REGSAUD;DS_NOME;Ano;Pop
33003;Centro-Sul;2010;319351
33004;Médio Paraíba;2010;855193
33005;Metropolitana I;2010;9873610
33006;Metropolitana II;2010;1940391
33007;Noroeste;2010;330093
33008;Norte;2010;836915
33009;Serrana;2010;911383
35011;Alto do Tietê;2010;2663739
35012;Franco da Rocha;2010;517675
35013;Mananciais;2010;986998
35014;Rota dos Bandeirantes;2010;1710732
35015;Grande ABC;2010;2551328
35016;São Paulo;2010;11253503
35021;Central do DRS II;2010;278351
35022;Lagos do DRS II;2010;190489
35023;Consórcios do DRS II;2010;250483
35031;Central do DRS III;2010;285700
35032;Centro Oeste do DRS III;2010;131724
35033;Norte do DRS III;2010;146949
35034;Coração do DRS III;2010;355884
35041;Baixada Santista;2010;1664136
35051;Norte - Barretos;2010;268546
35052;Sul - Barretos;2010;140721
35061;Vale do Jurumirim;2010;277385
35062;Bauru;2010;593319
35063;Polo Cuesta;2010;279326
35064;Jaú;2010;319496
35065;Lins;2010;155097
35071;Bragança;2010;416655
35072;Região Metropolitana de Campinas;2010;2793185
35073;Jundiaí;2010;698724
35074;Circuito das Águas;2010;123346
35081;Três Colinas;2010;386704
35082;Alta Anhanguera;2010;146942
35083;Alta Mogiana;2010;116161
35091;Adamantina;2010;128287
35092;Assis;2010;236188
35093;Marília;2010;361514
35094;Ourinhos;2010;217871
35095;Tupã;2010;124548
35101;Araras;2010;309911
35102;Limeira;2010;332852
35103;Piracicaba;2010;532227
35104;Rio Claro;2010;237594
35111;Alta Paulista;2010;125690
35112;Alta Sorocabana;2010;380077
35113;Alto Capivari;2010;56088
35114;Extremo Oeste Paulista;2010;92616
35115;Pontal do Paranapanema;2010;67721
35121;Vale do Ribeira;2010;273566
35131;Horizonte Verde;2010;393431
35132;Aquífero Guarani;2010;807106
35133;Vale das Cachoeiras;2010;127452
35141;Baixa Mogiana;2010;302331
35142;Mantiqueira;2010;262825
35143;Rio Pardo;2010;208625
35151;Catanduva;2010;291575
35152;Santa Fé do Sul;2010;44269
35153;Jales;2010;100705
35154;Fernandópolis;2010;110626
35155;São José do Rio Preto;2010;649787
35156;José Bonifácio;2010;91718
35157;Votuporanga;2010;184091
35161;Itapetininga;2010;451399
35162;Itapeva;2010;272676
35163;Sorocaba;2010;1518941
35171;Alto Vale do Paraíba;2010;975338
35172;Circuito da Fé e Vale Histórico;2010;450280
35173;Litoral Norte;2010;281779
35174;Vale do Paraíba/Região Serrana;2010;557197
41001;1ª RS Paranaguá;2010;265392
41002;2ª RS Metropolitana;2010;3223836
41003;3ª RS Ponta Grossa;2010;575463
41004;4ª RS Irati;2010;160962
41005;5ª RS Guarapuava;2010;441070
41006;6ª RS União da Vitória;2010;165299
41007;7ª RS Pato Branco;2010;249793
41008;8ª RS Francisco Beltrão;2010;337703
41009;9ª RS Foz do Iguaçu;2010;388795
41010;10ª RS Cascavel;2010;507385
41011;11ª RS Campo Mourão;2010;334125
41012;12ª RS Umuarama;2010;265092
41013;13ª RS Cianorte;2010;142433
41014;14ª RS Paranavaí;2010;260544
41015;15ª RS Maringá;2010;733404
41016;16ª RS Apucarana;2010;346972
41017;17ª RS Londrina;2010;871267
41018;18ª RS Cornélio Procópio;2010;225961
41019;19ª RS Jacarezinho;2010;278111
41020;20ª RS Toledo;2010;358660
41021;21ª RS Telêmaco Borba;2010;172922
41022;22ª RS Ivaiporã;2010;139337
42001;Extremo Oeste;2010;223547
42002;Oeste;2010;319662
42003;Xanxerê;2010;189054
42004;Alto Vale do Itajaí;2010;269424
42005;Foz do Rio Itajaí;2010;555564
42006;Médio Vale do Itajaí;2010;666938
42007;Grande Florianópolis;2010;1012233
42008;Meio Oeste;2010;179824
42009;Alto Vale do Rio do Peixe;2010;274305
42010;Alto Uruguai Catarinense;2010;141990
42011;Nordeste;2010;868530
42012;Planalto Norte;2010;354200
42013;Serra Catarinense;2010;286238
42014;Extremo Sul Catarinense;2010;180808
42015;Carbonífera;2010;390791
42016;Laguna;2010;335328
43001;Região 01 - Verdes Campos;2010;416981
43002;Região 02 - Entre Rios;2010;124266
43003;Região 03 - Fronteira Oeste;2010;465038
43004;Região 04 - Belas Praias;2010;138103
43005;Região 05 - Bons Ventos;2010;203016
43006;Região 06 - Vale do Paranhana e Costa S;2010;212547
43007;Região 07 - Vale dos Sinos;2010;755770
43008;Região 08 - Vale do Caí e Metropolitana;2010;717914
43009;Região 09 - Carbonífera/Costa Doce;2010;384175
43010;Região 10 - Capital e Vale do Gravataí;2010;2225237
43011;Região 11 - Sete Povos das Missões;2010;286248
43012;Região 12 - Portal das Missões;2010;152070
43013;Região 13 - Diversidade;2010;222771
43014;Região 14 - Fronteira Noroeste;2010;226933
43015;Região 15 - Caminho das Águas;2010;187063
43016;Região 16 - Alto Uruguai Gaúcho;2010;230814
43017;Região 17 - Planalto;2010;382429
43018;Região 18 - Araucárias;2010;128088
43019;Região 19 - Botucaraí;2010;115609
43020;Região 20 - Rota da Produção;2010;161508
43021;Região 21 - Sul;2010;845135
43022;Região 22 - Pampa;2010;182579
43023;Região 23 - Caxias e Hortênsias;2010;532917
43024;Região 24 - Campos de Cima da Serra;2010;94963
43025;Região 25 - Vinhedos e Basalto;2010;279288
43026;Região 26 - Uva Vale;2010;169633
43027;Região 27 - Jacuí Centro;2010;200264
43028;Região 28 - Vinte e Oito;2010;327158
43029;Região 29 - Vales e Montanhas;2010;207963
