CO_REGSAUD;DS_NOME;Ano;Pop_0a5;Pop_6a9;Pop_10a14;Pop_15a64;Pop_65emais;Pop_Total;PopH_0a5;PopH_6a9;PopH_10a14;PopH_15a64;PopH_65emais;PopH_Total;PopM_0a5;PopM_6a9;PopM_10a14;PopM_15a64;PopM_65emais;PopM_Total;p_Pop_0a5;p_Pop_6a9;p_Pop_10a14;p_Pop_15a64;p_Pop_65emais;p_PopH_0a5;p_PopH_6a9;p_PopH_10a14;p_PopH_15a64;p_PopH_65emais;p_PopM_0a5;p_PopM_6a9;p_PopM_10a14;p_PopM_15a64;p_PopM_65emais
15013;Marajó I;2010;28898;20113;25980;125634;10311;210936;14718;10180;13357;65856;5091;109202;14180;9933;12623;59778;5220;101734;13,70;9,54;12,32;59,56;4,89;13,48;9,32;12,23;60,31;4,66;13,94;9,76;12,41;58,76;5,13
15014;Marajó II;2010;46607;31378;39211;148717;10161;276074;23730;16068;20217;78112;5257;143384;22877;15310;18994;70605;4904;132690;16,88;11,37;14,20;53,87;3,68;16,55;11,21;14,10;54,48;3,67;17,24;11,54;14,31;53,21;3,70
16001;Área Central;2010;53506;37224;51059;287721;15418;444928;27238;19031;25624;141534;7047;220474;26268;18193;25435;146187;8371;224454;12,03;8,37;11,48;64,67;3,47;12,35;8,63;11,62;64,20;3,20;11,70;8,11;11,33;65,13;3,73
16002;Área Norte;2010;8214;5549;6889;31666;1616;53934;4269;2780;3619;16844;900;28412;3945;2769;3270;14822;716;25522;15,23;10,29;12,77;58,71;3,00;15,03;9,78;12,74;59,28;3,17;15,46;10,85;12,81;58,08;2,81
16003;Área Sudoeste;2010;22279;15857;21283;105192;6053;170664;11370;8033;10687;53139;3020;86249;10909;7824;10596;52053;3033;84415;13,05;9,29;12,47;61,64;3,55;13,18;9,31;12,39;61,61;3,50;12,92;9,27;12,55;61,66;3,59
17001;Médio Norte Araguaia;2010;28674;19561;27282;172109;15024;262650;14549;10029;13880;86120;7757;132335;14125;9532;13402;85989;7267;130315;10,92;7,45;10,39;65,53;5,72;10,99;7,58;10,49;65,08;5,86;10,84;7,31;10,28;65,99;5,58
17002;Bico do Papagaio;2010;22972;16619;22398;116742;12363;191094;11742;8448;11617;58996;6377;97180;11230;8171;10781;57746;5986;93914;12,02;8,70;11,72;61,09;6,47;12,08;8,69;11,95;60,71;6,56;11,96;8,70;11,48;61,49;6,37
17003;Sudeste;2010;10037;7458;10818;57554;6509;92376;5068;3839;5642;29826;3304;47679;4969;3619;5176;27728;3205;44697;10,87;8,07;11,71;62,30;7,05;10,63;8,05;11,83;62,56;6,93;11,12;8,10;11,58;62,04;7,17
17004;Cerrado Tocantins Araguaia;2010;15307;11273;15424;94664;9537;146205;7822;5825;7888;48658;5060;75253;7485;5448;7536;46006;4477;70952;10,47;7,71;10,55;64,75;6,52;10,39;7,74;10,48;64,66;6,72;10,55;7,68;10,62;64,84;6,31
17005;Ilha do Bananal;2010;16171;12111;16566;115429;11269;171546;8176;6112;8486;58466;6010;87250;7995;5999;8080;56963;5259;84296;9,43;7,06;9,66;67,29;6,57;9,37;7,01;9,73;67,01;6,89;9,48;7,12;9,59;67,57;6,24
17006;Capim Dourado;2010;32529;21409;29433;206945;11260;301576;16449;10889;14849;102645;5737;150569;16080;10520;14584;104300;5523;151007;10,79;7,10;9,76;68,62;3,73;10,92;7,23;9,86;68,17;3,81;10,65;6,97;9,66;69,07;3,66
17007;Cantão;2010;11832;8663;11421;75320;7412;114648;6025;4479;5893;38794;4020;59211;5807;4184;5528;36526;3392;55437;10,32;7,56;9,96;65,70;6,47;10,18;7,56;9,95;65,52;6,79;10,47;7,55;9,97;65,89;6,12
17008;Amor Perfeito;2010;11278;7818;10918;66064;7272;103350;5741;4001;5530;33880;3795;52947;5537;3817;5388;32184;3477;50403;10,91;7,56;10,56;63,92;7,04;10,84;7,56;10,44;63,99;7,17;10,99;7,57;10,69;63,85;6,90
21001;Açailândia;2010;34781;24661;31390;166679;12323;269834;17705;12694;16010;84214;6600;137223;17076;11967;15380;82465;5723;132611;12,89;9,14;11,63;61,77;4,57;12,90;9,25;11,67;61,37;4,81;12,88;9,02;11,60;62,19;4,32
21002;Bacabal;2010;31027;22643;29442;159919;16831;259862;15704;11529;14847;78423;8036;128539;15323;11114;14595;81496;8795;131323;11,94;8,71;11,33;61,54;6,48;12,22;8,97;11,55;61,01;6,25;11,67;8,46;11,11;62,06;6,70
21003;Balsas;2010;27627;19780;27791;143529;13423;232150;13866;10128;14183;73590;6542;118309;13761;9652;13608;69939;6881;113841;11,90;8,52;11,97;61,83;5,78;11,72;8,56;11,99;62,20;5,53;12,09;8,48;11,95;61,44;6,04
21004;Barra do Corda;2010;29013;19791;25821;128497;12481;215603;14722;10092;13142;65697;6385;110038;14291;9699;12679;62800;6096;105565;13,46;9,18;11,98;59,60;5,79;13,38;9,17;11,94;59,70;5,80;13,54;9,19;12,01;59,49;5,77
21005;Caxias;2010;36317;24783;31745;174151;19640;286636;18431;12556;16198;85086;9057;141328;17886;12227;15547;89065;10583;145308;12,67;8,65;11,08;60,76;6,85;13,04;8,88;11,46;60,20;6,41;12,31;8,41;10,70;61,29;7,28
21006;Chapadinha;2010;46012;31749;41532;208700;22231;350224;23368;16204;21079;105485;11103;177239;22644;15545;20453;103215;11128;172985;13,14;9,07;11,86;59,59;6,35;13,18;9,14;11,89;59,52;6,26;13,09;8,99;11,82;59,67;6,43
21007;Codó;2010;36588;24959;33357;176829;20920;292653;18530;12830;16862;86066;9943;144231;18058;12129;16495;90763;10977;148422;12,50;8,53;11,40;60,42;7,15;12,85;8,90;11,69;59,67;6,89;12,17;8,17;11,11;61,15;7,40
21008;Imperatriz;2010;54706;38386;52375;314978;28833;489278;28104;19432;26381;155635;14155;243707;26602;18954;25994;159343;14678;245571;11,18;7,85;10,70;64,38;5,89;11,53;7,97;10,82;63,86;5,81;10,83;7,72;10,59;64,89;5,98
21009;Itapecuru Mirim;2010;43911;30707;42077;207155;20795;344645;22322;15579;21212;103582;10388;173083;21589;15128;20865;103573;10407;171562;12,74;8,91;12,21;60,11;6,03;12,90;9,00;12,26;59,85;6,00;12,58;8,82;12,16;60,37;6,07
